activator1,affinity1,activator2,affinity2,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,205.1666667,GFPfa1,GFPfa2,GFPfa3
HSF1,ZF(WT),SP1,ZF(5X),713,624,655,,3.475223396,3.041429732,3.192526401
HSF1,ZF(WT),HSF1,ZF(5X),845,780,775,,4.118602762,3.801787165,3.777416734
HSF1,ZF(WT),empty,ZF(5X),652,597,593,,3.177904143,2.909829407,2.890333063
empty,ZF(WT),cMyc,ZF(5X),291,268,271,,1.418359058,1.306255077,1.320877335
empty,ZF(WT),BRD4,ZF(5X),324,288,281,,1.579203899,1.403736799,1.369618197
empty,ZF(WT),SP1,ZF(5X),464,398,421,,2.261575955,1.939886271,2.051990252
empty,ZF(WT),HSF1,ZF(5X),380,431,406,,1.852152721,2.100731113,1.97887896
empty,ZF(WT),empty,ZF(5X),334,310,315,,1.62794476,1.510966694,1.535337124
cMyc,ZF(WT),cMyc,ZF(7X),345,344,317,,1.681559708,1.676685621,1.545085297
cMyc,ZF(WT),BRD4,ZF(7X),337,320,338,,1.642567019,1.559707555,1.647441105
cMyc,ZF(WT),SP1,ZF(7X),527,520,514,,2.568643379,2.534524777,2.50528026
cMyc,ZF(WT),HSF1,ZF(7X),412,415,436,,2.008123477,2.022745735,2.125101543
cMyc,ZF(WT),empty,ZF(7X),317,313,343,,1.545085297,1.525588952,1.671811535
BRD4,ZF(WT),cMyc,ZF(7X),355,359,401,,1.730300569,1.749796913,1.95450853
BRD4,ZF(WT),BRD4,ZF(7X),402,389,444,,1.959382616,1.896019496,2.164094232
BRD4,ZF(WT),SP1,ZF(7X),604,621,629,,2.94394801,3.026807474,3.065800162
BRD4,ZF(WT),HSF1,ZF(7X),518,469,465,,2.524776604,2.285946385,2.266450041
BRD4,ZF(WT),empty,ZF(7X),427,365,366,,2.081234768,1.77904143,1.783915516
SP1,ZF(WT),cMyc,ZF(7X),539,480,474,,2.627132413,2.339561332,2.310316816
SP1,ZF(WT),BRD4,ZF(7X),273,258,255,,1.330625508,1.257514216,1.242891958
SP1,ZF(WT),SP1,ZF(7X),542,497,529,,2.641754671,2.422420796,2.578391552
SP1,ZF(WT),HSF1,ZF(7X),538,490,504,,2.622258327,2.388302193,2.456539399
SP1,ZF(WT),empty,ZF(7X),518,474,487,,2.524776604,2.310316816,2.373679935
HSF1,ZF(WT),cMyc,ZF(7X),748,692,749,,3.645816409,3.372867587,3.650690496
HSF1,ZF(WT),BRD4,ZF(7X),579,553,571,,2.822095857,2.695369618,2.783103168
HSF1,ZF(WT),SP1,ZF(7X),746,740,764,,3.636068237,3.606823721,3.723801787
HSF1,ZF(WT),HSF1,ZF(7X),688,681,724,,3.353371243,3.31925264,3.528838343
HSF1,ZF(WT),empty,ZF(7X),684,671,685,,3.333874898,3.270511779,3.338748985
empty,ZF(WT),cMyc,ZF(7X),270,274,287,,1.316003249,1.335499594,1.398862713
empty,ZF(WT),BRD4,ZF(7X),288,,307,,1.403736799,,1.496344435
empty,ZF(WT),SP1,ZF(7X),352,353,380,,1.71567831,1.720552396,1.852152721
empty,ZF(WT),HSF1,ZF(7X),332,339,334,,1.618196588,1.652315191,1.62794476
empty,ZF(WT),empty,ZF(7X),302,279,288,,1.471974005,1.359870024,1.403736799
