,activator1,affinity1,activator2,affinity2,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundpart,background,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.00527336,nFC1,nFC2,nFC3
11,cMyc,ZF(WT),cMyc,ZF(WT),pKC-10,pKC-10,SS,,206,400,344,323,,,1.84473482,1.586471945,1.489623367,43388,44689,46341,44806,44806,44806,0.008927376,0.007677543,0.007208856,,1.692919989,1.455911191,1.367032891
12,cMyc,ZF(WT),BRD4,ZF(WT),pKC-10,pKC-9,SS,,206,423,373,362,,,1.950807072,1.720215219,1.669485012,43137,44716,44643,44165.33333,44165.33333,44165.33333,0.009577648,0.008445538,0.008196474,,1.816232618,1.601547912,1.554317276
13,cMyc,ZF(WT),SP1,ZF(WT),pKC-10,pKC-14,SS,,206,603,562,515,,,2.78093774,2.591852421,2.37509608,44440,44671,45041,44717.33333,44717.33333,44717.33333,0.013484704,0.012567834,0.011516787,,2.557137207,2.38326884,2.183956321
14,cMyc,ZF(WT),HSF1m,ZF(WT),pKC-10,pKC-12,SS,,206,688,606,573,,,3.17294389,2.794773252,2.642582629,45436,43709,46508,45217.66667,45217.66667,45217.66667,0.015215292,0.013401841,0.012672038,,2.885312827,2.541423798,2.403029433
15,cMyc,ZF(WT),VP16m,ZF(WT),pKC-10,pKC-17,SS,,206,1700,1647,1640,,,7.840122983,7.595695619,7.56341276,43600,43955,44670,44075,44075,44075,0.038570618,0.037368123,0.037209302,,7.314240169,7.086207975,7.056090516
16,cMyc,ZF(WT),HSF1,ZF(WT),pKC-10,pKC-11,SS,,206,821,779,779,,,3.786318217,3.592621061,3.592621061,47063,46213,47441,46905.66667,46905.66667,46905.66667,0.017503216,0.016607801,0.016607801,,3.319177367,3.149377794,3.149377794
17,cMyc,ZF(WT),VP16,ZF(WT),pKC-10,pKC-16,SS,,206,1852,1795,1828,,,8.541122214,8.278247503,8.430438125,42025,42757,45084,43288.66667,43288.66667,43288.66667,0.04278256,0.041465819,0.042228143,,8.112961018,7.863264054,8.007825454
18,cMyc,ZF(WT),empty,ZF(WT),pKC-10,pKC-300,SS,,206,301,289,307,,,1.388162952,1.332820907,1.415833974,44171,45926,47095,45730.66667,45730.66667,45730.66667,0.006582016,0.00631961,0.006713219,,1.24816379,1.198403107,1.273044131
19,cMyc,ZF(WT),-,-,pKC-10,SS,SS,,206,301,304,319,,,1.388162952,1.401998463,1.471176019,40763,41371,42059,41397.66667,41397.66667,41397.66667,0.007270941,0.007343409,0.007705748,,1.378806266,1.392548522,1.461259797
20,BRD4,ZF(WT),BRD4,ZF(WT),pKC-9,pKC-9,SS,,206,377,382,423,,,1.738662567,1.761721753,1.950807072,45420,45441,45597,45486,45486,45486,0.008288265,0.008398188,0.009299565,,1.571723763,1.592568906,1.763499076
21,BRD4,ZF(WT),SP1,ZF(WT),pKC-9,pKC-14,SS,,206,507,526,577,,,2.338201384,2.425826288,2.661029977,45188,46287,45442,45639,45639,45639,0.01110892,0.011525231,0.012642696,,2.106611524,2.185557518,2.397465186
22,BRD4,ZF(WT),HSF1m,ZF(WT),pKC-9,pKC-12,SS,,206,563,572,623,,,2.596464258,2.637970792,2.873174481,43920,43969,45144,44344.33333,44344.33333,44344.33333,0.012696098,0.012899055,0.014049146,,2.407591941,2.446079201,2.664173675
23,BRD4,ZF(WT),VP16m,ZF(WT),pKC-9,pKC-17,SS,,206,1417,1417,1471,,,6.534973098,6.534973098,6.784012299,42640,43652,44380,43557.33333,43557.33333,43557.33333,0.032531835,0.032531835,0.033771581,,6.169091091,6.169091091,6.404187011
24,BRD4,ZF(WT),HSF1,ZF(WT),pKC-9,pKC-11,SS,,206,718,724,749,,,3.311299001,3.338970023,3.45426595,46124,47781,48759,47554.66667,47554.66667,47554.66667,0.015098413,0.015224584,0.015750294,,2.863148796,2.887074831,2.986766641
25,BRD4,ZF(WT),VP16,ZF(WT),pKC-9,pKC-16,SS,,206,1442,1350,1390,,,6.650269024,6.225980016,6.410453498,44377,44590,44542,44503,44503,44503,0.03240231,0.030335034,0.031233849,,6.144528859,5.752506213,5.922950842
26,BRD4,ZF(WT),empty,ZF(WT),pKC-9,pKC-300,SS,,206,332,285,293,,,1.5311299,1.314373559,1.351268255,47880,47453,47358,47563.66667,47563.66667,47563.66667,0.006980118,0.005991969,0.006160164,,1.323656733,1.136271593,1.168166936
27,BRD4,ZF(WT),-,-,pKC-9,SS,SS,,206,369,319,324,,,1.701767871,1.471176019,1.494235204,41930,42224,41983,42045.66667,42045.66667,42045.66667,0.008776172,0.007586989,0.007705907,,1.664246834,1.438739133,1.461289903
28,SP1,ZF(WT),SP1,ZF(WT),pKC-14,pKC-14,SS,,206,532,481,509,,,2.45349731,2.21829362,2.347425058,45785,46120,45307,45737.33333,45737.33333,45737.33333,0.011631636,0.010516573,0.011128764,,2.205735376,1.994283301,2.110374636
29,SP1,ZF(WT),HSF1m,ZF(WT),pKC-14,pKC-12,SS,,206,573,545,539,,,2.642582629,2.513451192,2.485780169,46894,45590,44794,45759.33333,45759.33333,45759.33333,0.012522036,0.011910139,0.011779018,,2.374584068,2.258548546,2.233683791
30,SP1,ZF(WT),VP16m,ZF(WT),pKC-14,pKC-17,SS,,206,954,935,1010,,,4.399692545,4.312067641,4.657955419,45579,44735,44617,44977,44977,44977,0.021210841,0.020788403,0.022455922,,4.022263395,3.942155424,4.258371099
31,SP1,ZF(WT),HSF1,ZF(WT),pKC-14,pKC-11,SS,,206,596,596,597,,,2.748654881,2.748654881,2.753266718,50304,49500,48848,49550.66667,49550.66667,49550.66667,0.012028092,0.012028092,0.012048274,,2.280916432,2.280916432,2.284743473
32,SP1,ZF(WT),VP16,ZF(WT),pKC-14,pKC-16,SS,,206,906,945,971,,,4.178324366,4.358186011,4.478093774,48467,47851,48572,48296.66667,48296.66667,48296.66667,0.018759059,0.019566568,0.020104907,,3.557325915,3.710455838,3.812542454
